q1_DT,q2_DT,q3_DT,q4_DT,q5_DT,q6_DT,q1_PT,q2_PT,q3_PT,q4_PT,q5_PT,q6_PT,q1_e,q2_e,q3_e,q4_e,q5_e,q6_e,x_DT,y_DT,z_DT,roll_DT,pitch_DT,yaw_DT
-4.349897520355098,-1.7135959928671598,2.6927937030769655,-6.283185307179586,0.0,0.0,-4.349898198348107,-1.7135963587159289,2.692793491432146,-6.283185141996203,-3.2005454767352416e-07,5.759472649459229e-07,-6.779930092903896e-07,-3.6584876905720876e-07,-2.1164481944779823e-07,1.6518338341597882e-07,-3.200545477533012e-07,5.759472649913278e-07,0.21339833168264494,0.06660679132694608,0.16835557972299214,1.5707963267948966,-0.9791977102098058,1.9332877868244887
-2.4166097335306103,-2.8559933214452666,0.8975979010256552,-3.141592653589793,0.0,0.0,-2.4166104045547616,-2.8559933224608223,0.897597709596146,-3.141592978020005,3.924005334019931e-07,3.3774056539125425e-07,-6.710241513552262e-07,-1.015555639582999e-09,-1.9142950913320078e-07,-3.2443021202865907e-07,3.924005333999503e-07,3.377405652926768e-07,-0.4423543815172868,-0.09376647366480102,0.3855911575642285,1.5707963267948966,-1.1831972331701819,-2.4166097335306103
1.4499658401183657,5.14078797860148,6.283185307179586,3.141592653589793,-6.283185307179586,0.0,1.4499653189508508,5.140787968225754,6.283185689149415,3.141592597469196,-6.28318545699819,1.5904638444677525e-07,-5.211675149219275e-07,-1.0375726056111034e-08,3.819698290996598e-07,-5.612059705839556e-08,-1.4981860374518874e-07,1.5904638450692232e-07,0.20801037543763604,-0.13818411427383917,0.6027800852378873,-1.570796326794897,-1.1423973285781066,-1.691626813471427
-6.283185307179586,-1.7135959928671598,2.6927937030769655,3.141592653589793,-6.283185307179586,0.0,-6.283185340617673,-1.713596270909966,2.69279368876395,3.1415930839545654,-6.283185134316594,3.264631874722811e-07,-3.343808696598671e-08,-2.780428061122109e-07,-1.4313015661571171e-08,4.303647722636583e-07,1.7286299236474179e-07,3.26463187594328e-07,-0.15508323034272953,-0.22315000000000007,0.26355303517764395,-1.5707963267948961,0.9791977102098054,-3.1415926535897927
6.283185307179586,3.9983906500233726,2.6927937030769655,0.0,-6.283185307179586,0.0,6.283185548542945,3.998391081495644,2.692793906886351,9.354747338393144e-08,-6.283185458176455,-2.6054730167028326e-07,2.413633586328956e-07,4.3147227124507026e-07,2.038093853684586e-07,9.354747332324109e-08,-1.5099686834219028e-07,-2.6054730151159333e-07,-0.002343873289474394,-0.22315000000000002,0.17297653629448997,1.5707963267948966,-0.40799904592075154,-4.852932433962716e-16
-5.316541413767342,2.8559933214452666,0.8975979010256552,-6.283185307179586,6.283185307179586,0.0,-5.316541270775781,2.8559932700550386,0.8975971864913078,-6.283185241658668,6.283185428792198,-3.7666771386536397e-07,1.429915608142096e-07,-5.139022807298943e-08,-7.145343472458876e-07,6.552091846856456e-08,1.2161261153664782e-07,-3.7666771390831855e-07,0.3876721850395377,0.1688151818874703,0.27557748212180677,-1.5707963267948968,0.6119985688811287,-2.174948760177549
5.316541413767341,-1.7135959928671598,-4.487989505128276,-3.141592653589793,-6.283185307179586,0.0,5.3165413793483705,-1.713596212117055,-4.4879895676384525,-3.141592413239575,-6.283185302939823,-1.7313936671030706e-07,-3.441897078459988e-08,-2.192498951281152e-07,-6.251017659053559e-08,2.4035021795043576e-07,4.239763207181113e-09,-1.7313936684359987e-07,-0.28861962159238413,0.025312769422162262,0.4606092378337467,-1.5707963267948966,0.08159980918415093,2.174948760177548
-4.349897520355098,-1.7135959928671598,0.8975979010256552,-3.141592653589793,-6.283185307179586,0.0,-4.349897418017337,-1.7135958939842728,0.8975980990574638,-3.1415927563396933,-6.283185937570429,3.1101468456413927e-07,1.0233776137624773e-07,9.888288676762613e-08,1.9803180872912662e-07,-1.0274990014380592e-07,-6.30390842637496e-07,3.110146846729833e-07,0.22611020737998647,0.033088329832684005,0.6066948259769498,-1.5707963267948968,-0.8159980918415045,-1.2083048667653045
0.4833219467061216,6.283185307179586,4.487989505128276,-3.141592653589793,6.283185307179586,0.0,0.48332234438852667,6.283185358992196,4.487989369916921,-3.1415921766096004,6.283185199225834,-3.4985241595843456e-07,3.9768240522874976e-07,5.181261020226202e-08,-1.3521135500127457e-07,4.769801926762796e-07,-1.0795375260386209e-07,-3.4985241592622174e-07,0.00373637223233432,-0.25005603308296903,0.3407124691639934,1.5707963267948952,-1.3463968515384825,0.483321946706123
2.41660973353061,3.9983906500233726,4.487989505128276,3.141592653589793,-6.283185307179586,0.0,2.416609342698017,3.9983909504631305,4.487989888924376,3.1415926929719658,-6.283185925385516,-1.8974401397816228e-07,-3.908325929558032e-07,3.0043975796090194e-07,3.837960997898904e-07,3.938217263410593e-08,-6.182059300030573e-07,-1.8974401383431427e-07,-0.014200623605800752,0.31070596627023117,0.11349433248321553,1.5707963267948961,0.9383978056177315,2.4166097335306094
